AIS,MUNICIPIO,NATUREZA DO FATO,ARMA-UTILZADA,DATA,SEXO,IDADE,State,Country,LATITUTDE,LONGITUDE
AIS 19,Juazeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,20/01/2020,Masculino,20,Ceará,Brazil,-7.2153453,-39.3153336
AIS 17,Cruz,HOMICIDIO DOLOSO,Outros meios,20/01/2020,Masculino,36,Ceará,Brazil,-2.918128,-40.175981
AIS 19,Juazeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,21/01/2020,Masculino,16,Ceará,Brazil,-7.2153453,-39.3153336
AIS 11,Caucaia,HOMICIDIO DOLOSO,Outros meios,21/01/2020,Masculino,-,Ceará,Brazil,-3.7300563,-38.6593082
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Outros meios,21/01/2020,Masculino,24,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,21/01/2020,Masculino,47,Ceará,Brazil,-3.8779438,-38.6247697
AIS 15,Aracoiaba,HOMICIDIO DOLOSO,Outros meios,21/01/2020,Masculino,14,Ceará,Brazil,-4.3702577,-38.8084313
AIS 13,Pacajus,HOMICIDIO DOLOSO,Arma de fogo,21/01/2020,Masculino,24,Ceará,Brazil,-4.171073,-38.464988
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,21/01/2020,Masculino,23,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,22/01/2020,Masculino,32,Ceará,Brazil,-3.8922967,-38.6835427
